site_liste,long,lat
tihore,2.633916667,12.86705
bani_zoumbou__tchouro_ham_,2.471433333,13.12933333
foulan_zam,2.879683333,13.32685
djogo_koira,2.95565,12.90178333
kolbou_peulh,2.968466667,13.36515
tombo_gaboakoye__rcv____mai_gari_koira___,0,0
goumbi__kongore_loutou_koira_,2.943766667,13.55331667
koulou_peulh__gao_bangou_,2.970083333,13.60991667
barbe_sire,2.865716667,13.17033333
doulouwel_djerma,2.772333333,13.21318333
fandoga,2.9115,13.1705
chagari_peulh,3.551833333,12.52865
gueza_bissala,3.5206,12.41915
tounga_mai_tela,3.616666667,12.62818333
tsamia_firore,3.59735,12.61103333
angoual_zanaou__angoual_baraze_,0,0
angoul_doua_abarchi,3.60495,12.7576
garin_sabo__dan_mangoro_,0,0
kalgo_peulh,3.644016667,12.82195
tounga_basso,0,0
tribu_i__rouga_angoual_damagani_,0,0
angoual_kassa,4.292433333,13.82305
fanna_garre,4.180783333,13.82235
garin_tabadadaje,4.35735,13.67313333
gigalawa,4.181833333,13.5788
kalgo,4.19115,13.49546667
rouga_kara,4.196483333,13.72016667
arawa_doutchi,4.022766667,13.64381667
herey,0,0
akoira_peulh,4.372683333,14.18298333
doula,4.339716667,14.20125
doutchi_zango,4.413883333,14.27668333
inates_ii,4.270816667,14.21416667
kadade,4.1703,14.07556667
mayssoro_dagna,4.157583333,14.0515
rouga_kantcham,4.045366667,13.36583333
tareitache,4.021583333,13.5142
belaye_ambouta,4.06055,13.97198333
birnin_lokoyo,4.038683333,13.8054
doundaye__garin_boka_,3.888966667,13.82966667
garin_issaka,3.994533333,13.86561667
garin_mani,0,0
garin_moutari,3.88225,13.82011667
garin_salaou,3.89115,13.82891667
garin_sani,0,0
garin_tagoua,3.989716667,13.8751
goriba,4.0607,13.85641667
haoussawa,4.05975,13.93758333
salga_angoual_kaji,4.150533333,13.93488333
bawadawa,4.04785,14.09381667
dagazaria,3.930066667,13.98045
kolifo,3.94605,13.97576667
marina,3.807483333,14.12283333
sakarou,3.934733333,14.0152
toudoun_biri_ii,4.01935,14.11165
toudoun_gao,4.04755,14.10961667
toulou_warkou,3.942016667,14.29298333
dede_chantier,3.215733333,12.59806667
libo_zeno,3.379166667,12.48286667
tombon_garba,3.261333333,12.37698333
banikoubey_niandou,3.103833333,13.40493333
campement_peulh_poullo_kari,3.095833333,13.33338333
marigouna,3.171416667,12.60538333
tchiara_dole,3.0485,12.95643333
tibi_tagui,3.185883333,12.54463333
rcv_koumbokoy_dey,3.270883333,12.9252
aouli_koara,3.49245,12.89626667
bolbol_kodi_badoum,3.5321,12.90828333
diankourana_koira,3.47885,13.04961667
zanga_babadey,3.487383333,12.82845
ladan_dey,3.524883333,13.50156667
say_tombo,3.398316667,13.31433333
tchoulan,3.38435,13.37331667
campement_peulh__gabikane_,3.064533333,12.30275
kobki_tanda,3.114483333,12.46861667
marafa_koira,3.39405,12.87171667
anka_dey,3.542583333,13.21191667
campement_peulh__fandobon_tombo_,3.459533333,13.238
farera,3.441866667,13.32181667
tanda,3.6033,13.33435
boube_koira,3.789233333,13.48126667
diguinaboun_zounkoara,0,0
marake,3.878816667,13.46191667
zanga_koara,3.628933333,13.09891667
tchantchoga_peulh,0,0
zongo_koira,2.999033333,12.30038333
bouringa_beri,2.8881,12.59795
darfou_tounga,3.266716667,12.01975
gondo_guinde_alfagay_belande_,3.263933333,12.0521
goungo_ra,3.263183333,12.04211667
guawado,3.292183333,12.04041667
mango_do,3.310866667,12.0271
tanda_koyekoira,3.2527,12.07433333
thielkabaye_koungou,3.30365,12.0426
tribu_albarkaize,3.2228,12.122
ladan_koira,3.630933333,11.737
garin_goni_1,3.302083333,12.24538333
garin_ladan,3.477933333,12.11685
illela,3.553816667,12.21275
jarin_wanke,3.438466667,12.21545
tombo_kaina,3.421633333,12.09611667
tounga_maissadje,3.445966667,12.3216
falwel,3.593,13.52325
guida_ga,3.613533333,13.5373
kodey,3.71585,13.60116667
kofiti,3.53785,13.65321667
sarkin_noma_koira,3.64165,13.46963333
djibo_dey,3.444483333,13.56395
sabarara,3.320616667,13.66385
tombo_tameye,3.37865,13.55591667
tounga_gazari,3.936083333,13.04571667
garin_madi_toude_zarma_,3.803383333,12.67181667
garin_nabade,3.806983333,12.8772
houri,3.798416667,12.85385
kobia_tounga_noma,3.845966667,12.69441667
sabon_gari,3.8994,12.98626667
wassangou,3.801966667,12.90738333
fadina,3.759666667,13.18063333
illela,3.8041,13.3136
rouga_maman_maouda,0,0
rougal_alou_hama,0,0
garin_dambo_doubou,4.095766667,13.22821667
garin_maitoukane,0,0
rey___rey,0,0
sarmakon_toudou,4.0741,13.1683
tombon_bouya,0,0
wagifa,0,0
zayrou,0,0
adgoul,0,0
arigoulane,6.48005,15.78605
chinetagharnane,6.24755,16.05296667
chiremene,6.29225,15.61076667
inabalasse,6.285166667,15.45183333
inwala_ii,6.285166667,15.45183333
tadjagarate,6.47935,15.61231667
tagalalte_chinwalaghane,6.293733333,15.6591
takakout,6.18705,15.74455
tan_wili,6.5314,15.68198333
tanafi,0,0
tantibass,6.105033333,15.73166667
terghess_tan_babi,6.201333333,15.54395
achetaboukoumt,5.887733333,15.37296667
bargagi_peulh,5.954516667,15.10005
chimgarzenatt,5.875633333,15.04718333
tabalak,0,0
tassako_tassakok,6.239116667,15.15086667
tazek_i,6.183183333,15.29696667
tinilat,6.0273,15.28491667
wanalhawa,5.942183333,15.16835
wanalhawa_tantelinte,5.94065,15.19051667
attoun_gour,0,0
hadukan_sara,6.404733333,14.79186667
waka_wala,6.487416667,14.75411667
intougouzou_iboyaran,0,0
marbadama,5.736383333,15.07046667
salam_lekoum,5.676266667,15.26175
sofoua_mararaba_kao,5.798816667,15.23003333
zango_kajigo_,0,0
tchiziyan,6.253483333,15.68311667
waktanna,7.0966,15.64251667
akassou_folakana,4.433516667,14.64106667
akassou_peulh,4.429316667,14.64051667
bagaroua,4.578966667,14.55628333
bila,4.722133333,14.36581667
chetalli,4.733983333,14.11515
falaley,4.52735,14.17901667
faska_bahago,4.61675,14.45708333
garin_ajiyao,4.430966667,14.586
garin_banaou,4.703916667,14.36815
iskita__iskita_gohe_et_bage_,4.605833333,14.52716667
katsari_jannare,4.474033333,14.34553333
kouldamiya,0,0
lolam,4.690166667,14.1952
maijaka,4.735383333,14.0544
mani_ada,4.539666667,14.51496667
mani_hassan,4.510183333,14.50136667
rougga_jouli,4.59,14.17351667
somaki_i,4.780066667,14.15386667
taosseye_garin_gabas,4.554783333,14.44105
taosseye_kouldamiya,4.549566667,14.44051667
tchiraga_toudou,4.747933333,14.2162
zongo_zouza,4.749233333,14.47485
berkel_baizo,4.77205,13.86348333
garin_elhadji,4.776033333,14.06913333
goumbi_n_kano,4.921583333,14.01426667
hagna_sarki,4.849466667,13.84108333
kankarey,4.7463,13.9045
keinkeletchi,4.96985,14.1007
waka_zouwa,4.74615,13.76835
ambouta,5.125633333,13.75181667
bazaga_koli,5.085833333,13.79396667
labada,5.009466667,13.76966667
machekara_d._daji,0,0
rouga_birema,4.97965,13.76735
tajaye_gazourawa,4.98375,13.76193333
ingarge,5.078633333,13.93768333
matan_karawa,5.252016667,13.80368333
mounki,0,0
sanyinna,5.0361,13.9847
tcherassa_goune,5.296066667,13.83793333
zata,5.077916667,13.94651667
guidan_bawa,5.374033333,13.9993
mai_foula,5.290366667,13.93361667
mozague_peulh,5.4666,13.88466667
tcherassa_peulh,5.32165,13.8455
tsaouna_gomma,5.338916667,13.9788
zango_magouza,5.37035,13.99796667
zongon_nadabar,5.380316667,13.88223333
guidan_kore,5.856733333,14.52326667
danala_baban_katami,6.256,14.52561667
kagarkawa,6.38275,14.38503333
koundoumawa,6.2964,14.59481667
zangon_tourda,6.286483333,14.6179
binguimawakiaro,6.194216667,14.4147
chindigui_killa,6.09165,14.3693
dougouna,6.0442,14.42326667
kouraye_garadoume_kore,5.990866667,14.38263333
toullou_boukoui,6.0875,14.43148333
tountoube,5.989416667,14.25626667
zongon_tako,6.022666667,14.44368333
zonkokan,0,0
zourmani_guidan_gabdoua,6.071766667,14.40338333
kwazara,5.99985,14.61736667
zongon_mardo,6.032133333,14.58963333
fotinguel,6.335783333,14.36495
gamji_awa_his,6.209516667,14.30826667
guidan_matchouda,6.302233333,14.3755
kouroukourou,6.430716667,14.32333333
maimaraoraye_maikaraoureye,6.1783,14.2448
sabon_sara_gabass,6.20295,14.38808333
zangon_guajerre,6.364666667,14.45038333
zangon_harouna,6.41965,14.39135
zongon_abouzeidi,6.266233333,14.32318333
drakou_tagalati,6.2175,14.63088333
lougou,6.1238,14.62741667
yamamane_zongo,0,0
hanchin_mago,0,0
karba,5.733483333,14.19676667
sammo,0,0
bougi_i,5.4467,14.51403333
goussoussou,5.598266667,14.35915
kaoura_moullela,5.65845,14.47316667
sabon_carre,5.3722,14.45808333
sayouna,5.632933333,14.37546667
tounga_saddi,5.42465,14.55348333
yama,5.497466667,14.35938333
zango_roukou_zoum,5.493683333,14.43786667
zongan_moujia,5.388216667,14.3699
azao,5.124533333,14.42851667
dalle,4.964816667,14.47826667
dangada_makouna,5.15715,14.22668333
dangona,5.0416,14.2678
gueza,4.980366667,14.232
guidan_karo,5.281633333,14.37136667
kassafeye,5.291183333,14.54105
kondago,5.279166667,14.52165
lama,4.987033333,14.1084
talara_sami,5.163983333,14.13266667
toudoun_lissawan,5.14235,14.13401667
tounga_tsakoni,5.181533333,14.4331
doudougue,5.447483333,14.26761667
gorge_eguef,5.235716667,14.16235
guidan_saage,5.277683333,14.15321667
machekarin_bagoudou,0,0
oure_takachewar,5.412583333,14.23648333
roumbouki,5.288766667,14.21895
tounga_alao,5.52545,14.23426667
zangon_dabagui,5.160483333,14.16353333
zangon_kanamou,5.344816667,14.15503333
zangon_yama,5.347933333,14.16845
guidan_dan_goari,5.728533333,14.64623333
guidan_mani,5.884883333,14.60146667
guidan_tawaye,5.97025,14.56935
jangargari,5.9598,14.69668333
kouzina,5.980383333,14.70381667
maini_kelgress_ii,0,0
tajae,5.73605,14.6577
tchimbaba_tane,6.02685,14.70345
charingue_tajae,5.831216667,14.80568333
daket,0,0
eress,6.236716667,14.84941667
ibohamane,5.9309,14.79386667
jeji_badou,5.888616667,14.7327
mahana,6.11815,14.7689
sabon_gari_karkamat,6.087083333,14.9332
tinkirana_tounga,5.924433333,14.88345
toundoun_gabirawa,6.09955,14.82236667
akoukou_ikejeik,0,0
boussarague,5.732316667,14.98055
garin_moussa_bague_garin_moussa,5.824183333,14.7351
guidan_fako_et_gorey,5.736233333,14.74648333
hopital,5.772883333,14.75583333
iboyaran,5.754183333,14.70456667
intchimia,5.854366667,14.7728
kirari,5.814316667,14.74265
bourdi,5.571616667,14.57433333
dououbeye_tchedia_et_sabon_guida,5.542433333,14.54245
idikin_fague,5.664683333,14.73316667
karadji_gangawa,5.5777,14.70003333
moullela_guidan_fako,5.6181,14.69763333
mouya,5.531133333,14.57391667
jangare_sedentaire,5.968983333,14.16816667
birni_beidi,6.019266667,13.69643333
guidan_malan_ango,6.168966667,13.66221667
kankirawa,6.094883333,13.68573333
karaouraye_et_souley,6.070166667,13.8647
kataguiri_garin_kantou,6.258016667,13.67723333
roumboukawa,6.22645,13.84955
roumboukawa_mowal,6.129683333,13.69096667
tiddit,6.082466667,13.71548333
tsaoua,0,0
zangon_malamey,6.0345,13.70931667
baltana,5.8003,14.12201667
galma_nomade,5.85165,14.10111667
baousa_kona,6.05675,13.98706667
boudounkoye_tchinkaousso,6.016,14.17138333
doneye_doutchi,6.132866667,14.08908333
jayaou,6.037783333,14.07426667
zongon_chitan,6.11445,14.17458333
dan_magaji_garin_magagi,6.592333333,14.23438333
garin_gabass,6.491716667,14.18868333
hinjirkou,6.482233333,14.23416667
kagarki_et_kagarkoua,6.345483333,14.23896667
maizama,6.521266667,14.24386667
manzou,6.3235,14.04493333
toubou_toubou,6.319816667,14.10096667
zongo_agoua,6.489333333,14.21641667
guidan_haido,5.779616667,13.93325
koumassa,5.880833333,13.87488333
koundigue_sarki,0,0
lakoumawa,5.998866667,13.99096667
tadada_tchimola,5.904416667,13.99183333
toudouni,5.980816667,13.78433333
watcha_haido,5.866316667,13.90318333
dogeraoua,5.588266667,13.96325
doutchi_hama,5.6583,13.87983333
el_adoua,5.637683333,13.9726
ganfa,5.701116667,14.1456
gounfara,5.712383333,14.17293333
guidan_miko,5.675083333,13.99656667
guidan_tsoho,5.658616667,14.01641667
moulela_i_et_ii,5.66615,14.00328333
moulela_sambo,5.6744,14.0532
moussoukou,5.674583333,13.98521667
soutoura,5.678733333,14.1459
toudou_adaraoua,5.613183333,13.95521667
tsohon_zama,5.648133333,14.08965
zongo_tagadem,5.725466667,13.9345
dabagui,5.39195,14.09476667
guidan_alahiya,5.422183333,14.08223333
guidan_dodo,5.393166667,14.01818333
guidan_hassane,5.5093,14.19308333
guidan_makaho,5.386433333,14.05623333
guidan_soumeye,5.27995,14.05036667
ifrinkawane,5.588733333,14.14306667
kandabare_zango,5.45415,14.07141667
karni_maguichiri,5.50635,13.94911667
sabon_gari,5.383483333,14.09855
takorka,5.408666667,14.03658333
takoro,5.290233333,14.00713333
tounga_louhoudawa,5.559133333,14.11108333
zango_amagadass,5.438,14.07336667
zango_kelle,5.441283333,14.0749
allela,5.038,15.32415
chimbiyawane,5.27145,15.19143333
doutchi_guililli,5.038933333,15.02636667
fadama_tafagag,5.067516667,15.28931667
tamadasatt_chimadassat,5.166083333,15.27495
touwak,5.232816667,15.30575
galatan,5.153233333,14.54833333
guilleye_kore,4.99215,14.49206667
kossoma,4.868883333,14.81966667
marega,5.333516667,14.59053333
tenaran,5.049133333,14.7651
tounga_anarba,4.839483333,14.62046667
tounga_hanni,4.984583333,14.64525
yan_kalague,5.053816667,14.74426667
ikakan,5.437333333,15.08601667
toro,5.392333333,15.00333333
adouna_guidan_toudou,5.57315,14.75468333
garin_galo,5.564216667,14.9485
atibis,4.719916667,15.1293
hameau,4.8964,15.16741667
lokojoro,4.74675,15.0963
loukoumbou,4.907233333,15.18276667
moullela,4.953733333,15.1561
tadiss,4.977566667,15.04503333
takanamat,4.77715,15.13706667
touffar,4.861466667,14.98596667
tounga_yara,4.854066667,15.16523333
bilingue,4.163866667,14.90458333
doutchi_chiguinawane,4.655816667,14.74926667
intakana,4.162066667,15.10311667
mai_magaria,4.485333333,14.85206667
sayelle,4.5949,14.6465
akazaye,0,0
alhaoudaca,0,0
amarassa,5.626016667,16.72328333
aroukoub,0,0
assabansab,0,0
bire_gouffa,6.0361,17.0582
birni_wejam,5.906233333,16.83963333
chinaghwenat,0,0
fds,5.645266667,16.80698333
inchilit,0,0
iniezmeye,0,0
innakarazraz,0,0
intizintiz,6.046083333,16.65646667
miguiza,5.33665,16.51978333
tachigarte,4.65702,16.71211
tanbwalli,0,0
tarissadat,5.492233333,16.47718333
tassak,5.611583333,16.64405
tingengal,0,0
tizigaret,5.87105,16.87608333
wan_algalass,0,0
wan_nidiwane,0,0
akalafa,5.869966667,15.50466667
chimikidal,5.631033333,15.48571667
ching_arzenatane,5.366583333,15.42123333
chinnabarami,5.778016667,15.45815
damayok_ii,5.765683333,15.59476667
ekankar,0,0
ezagh,5.669816667,15.4658
gharachat,0,0
inniguiri,5.3861,15.18618333
intafagat,5.716766667,15.5986
intetof,5.4391,15.49806667
louba,5.7649,15.39846667
takajit,5.849683333,15.57931667
tan_minetere,5.734583333,15.65766667
toukoukout_garmi,5.7166,15.35968333
ziguet_djibo,0,0
amataghtag,6.066666667,16.20651667
amokaye,5.377383333,15.62256667
atalak,5.619883333,15.61685
chibital_inagar,6.605483333,16.06698333
chinchinanan,5.3477,16.11355
ibirgidid,6.1926,16.1228
infirji,5.872616667,15.86395
intablate,5.845383333,15.91578333
issiwinmidghan_inagar,6.501116667,16.06055
magalaloum,5.521066667,16.2416
tangue_zatane,5.939866667,15.81558333
wan_jian_inagar,6.54075,16.1263
zirkat_imiguila,0,0
aderzagrene,4.684483333,15.84796667
amalgon,0,0
chigoumman,0,0
imoulale_imoul_intailene,4.770833333,15.45
infasseini,5.041666667,15.84545
infilinjiwan,0,0
innassagan,5.36575,15.36361667
innibbong,4.74105,15.57243333
intaragamat,4.682233333,16.1565
intikane,4.714088814,15.64360144
ohibadak_dahen,5.305566667,15.27271667
tabalolt_i,4.708,15.3663
tadgouni,0,0
tagalalte,4.791866667,16.20095
tajawak_jawaki,4.710683333,16.13431667
taksanainasse,4.634366667,15.95483333
taloukamest,0,0
tanfagagan,4.74305,15.71816667
telemces,4.783083333,15.62426667
garin_amin,5.3185,14.8096
ibiki,5.264616667,14.89058333
kolloma_dabagui,5.325816667,14.88331667
kourdaou,5.283033333,14.9567
marake,5.354833333,14.85773333
mararaba,5.342433333,14.78221667
akora_jankarhi,5.163566667,14.83991667
amaddoukkou,5.2146,14.82373333
bakin_dabagui_illiass,5.181016667,14.8512
bakin_dabagui_tajika,5.178116667,14.8752
concorbeye_peulh,5.241383333,14.78218333
guidane,5.176016667,14.79913333
magariawa,5.150266667,14.81656667
majema,5.197266667,14.8021
rafin_kalgo,0,0
raya,5.250616667,14.96923333
sanfada,5.148466667,14.85296667
tagarara,5.22365,14.94085
tagueye_peulh,5.08465,15.02186667
talabe,0,0
toudoun_kiara_haoussa,5.230766667,14.81773333
toulkou_anza,5.1462,14.79021667
tsamawa,5.262333333,14.88821667
tsanganak_koura,5.140983333,14.9694
abala,3.432316667,14.93086667
abala_toudou,3.432316667,14.93086667
garin_targez,3.39725,14.878
garin_wadey,3.177016667,14.91643333
gorgabi_1,3.414983333,14.86763333
intichilfaye_kore,3.4692,14.87155
jakassa,3.393083333,15.0505
keltizembet_4,3.400816667,14.83053333
kongimit,3.579666667,14.92561667
malass_garin_louna,3.697316667,14.7015
miel_ciminit,0,0
tamatey,3.246083333,15.10315
tillimoune,3.797666667,15.18203333
dan_bangaye,0,0
dan_gari,3.917766667,14.85901667
dawoyi,3.86295,14.644
ezza,4.073183333,15.13166667
garin_abay,3.92895,14.91938333
garin_attikou,3.8337,14.63493333
garin_lahama,3.832433333,15.08801667
garin_nagaouna,3.835316667,14.66095
garin_sama,3.830366667,15.10498333
garin_tcherou,3.91895,14.7653
goumbi,4.222983333,14.54331667
market_dounna,4.050866667,14.83423333
takouka_tamachi,3.788333333,14.76015
tsaloulou,3.941783333,14.6347
dafale,0.900233333,14.6608
daya_sedentaire,0.885083333,14.67223333
doulsou,0.896283333,14.7469
doumbou,0.915416667,14.69821667
dourkoungi,0.9183,14.68951667
firgoune_goungou,0.876683333,14.8098
kouli_koire,0.877483333,14.76708333
tissow,0.9172,14.68791667
weilabon_adam_galassi_koira,0.908383333,14.76196667
haguaye_touareg,1.2405,15.0772
ingamane,1.3833,14.87235
kodi_dare_salam,0,0
n_nighighi,0,0
sawani_i,1.229483333,14.7053
tabarbereye,0.978766667,14.77793333
tarhabout,1.206783333,14.75195
tidikit,1.1657,14.89873333
tidirgalene_bibiyorgou,1.025633333,14.87808333
tigazaratene,1.051066667,14.91946667
alfa_kouara,3.008333333,13.63513333
bani_zoumbou_ii,2.927583333,13.83276667
borgo_darey,3.040083333,13.66178333
borgo_gorou_ii,3.041033333,13.64738333
dabey,2.911316667,13.51608333
datche,2.733216667,13.66421667
fari_beri,3.026166667,13.723
foga_banda,2.915483333,13.67556667
fouta_izeydo_kokoro_fandou_4,2.620633333,13.86126667
gambina_bangou,3.017716667,13.65341667
gonga,2.65985,13.79523333
haini_fada,2.720266667,13.75536667
izagagadane,2.94495,13.76796667
kali_gorou,3.0101,13.62671667
kalley_kouara,3.071716667,13.6166
ko,2.633133333,13.7869
koudou_gari,3.01775,13.8043
lele_ii,2.969066667,13.65926667
n_gawa_dantchindou,2.9482,13.7528
soudjey,3.02165,13.68741667
timbarkawane_ii,2.929333333,13.76415
timboran_tarbanassa,2.894383333,13.80695
tinkafa_ii,2.920883333,13.71601667
tizayitt_bangou_fansi,2.783933333,13.81761667
tondikire,3.03595,13.69421667
tourakou,2.954266667,13.78728333
winde_gaweydo,2.924766667,13.70071667
winditane,2.89045,13.7572
adabdab,2.339633333,15.07591667
alfa_koira,2.41755,14.9519
banibangou,2.701333333,15.03948333
banibangou_zarma,2.701333333,15.03948333
banokokorbe,2.075933333,15.12295
bassikaina,2.701333333,15.03948333
campement,2.74015,14.89646667
darey_sossi,3.0075,15.13106667
deke_deke,2.37875,14.93668333
dey_koukou,2.52445,15.10711667
dimassi_koira,2.6109,14.74833333
falanzadan,3.051283333,15.07048333
falanzadane_goroutche,3.06365,15.07251667
fando_bon,2.388966667,15.14731667
ganganora_ii,2.32965,15.10976667
gnandou_kouara,1.87255,15.13588333
goulla,2.721866667,14.8309
inkourou_gorou,2.16805,15.0363
kodo_kouara,2.383016667,15.18536667
kouara_tegui,2.341683333,15.1598
sabon_gari,2.674966667,14.77051667
tchofologa,2.513116667,14.94816667
walou_koira,2.254566667,15.20956667
wiye,2.7756,15.01948333
zakari_kouara,2.301916667,14.88573333
adar,0.70485,14.55203333
aguirmam,0,0
chifala,0.612733333,13.98761667
fala,0,0
fissikim,0.588033333,14.36216667
ibangane,0,0
iguigui,0.943866667,14.25721667
illey_campement,0,0
imbachamane,0,0
ingari__tintachit_,0,0
ingari_barradje,0.6821,14.55223333
inkilwatane,0,0
inlamboutane,0,0
kangoria,0,0
kel_eguef,0,0
koumek,0.74475,14.49091667
koumek_abouba,0.722383333,14.51468333
koy_koy,0.77205,14.69481667
nambirma_ii,0.6238,13.9233
sakirbangou,0.982616667,14.32206667
sassareye,0.645216667,14.60606667
silgou_tanguidad,0,0
tadareit,0.725783333,14.67243333
tamboragan,0.853433333,14.6278
tassoumoumate,0.674983333,14.57181667
tatararat_eguef,0.820366667,14.65636667
teguiech,0,0
tinbakat,0.937733333,14.40155
tintakaneyt,0.507083333,14.25685
walat_agarouss,0,0
akwata,3.303883333,14.18151667
dan_marke_karama,3.41285,14.51105
dirga,3.291716667,14.18371667
fakaye,3.377833333,14.43378333
garin_laloua,3.3275,14.3897
gazaoua_1,3.410083333,14.30675
hopital_de_district,0,0
kanya_ize_ii,2.841033333,14.30216667
mai_kogo,3.412333333,14.39006667
massama,3.287616667,14.22183333
takoussa,3.27115,14.63443333
talcho,3.3653,14.5785
tapkin_ganda,3.426183333,14.60871667
koira_tegui,3.171616667,13.95971667
arawa,3.422183333,14.14245
chical_lokoko,3.461666667,14.25245
itchiguine,3.395183333,14.07711667
tombo,3.342183333,14.02441667
village_administratif,0,0
diney,2.82555,14.13191667
fadi_foga,3.078266667,13.8708
